cause_of_loss,avg_loss_percentage
Lack Of Storage Facilities And Lack Of Packing,5.0
"Krishi Bazar Store Oranges In Cemented Floor On Plastics, Straw Bed, Doko, Crates, And Sacks And On Plant Leaves Bed",5.0
Poor Status Of Machines,5.0
"This Loss Was Due To Evaporation Loss, Rottening, Breakage",5.0
Market Storage Spillage,5.0
Sorting By Brokers,5.0
Weed,5.0
Defects/Impurities Small Scale,5.0
During Sale Or Advertisement,5.0
Leakage From Machinery,5.0
